Date Open High Low Close Volume AdjClose TrainTest 
8/23/1963 71.54 72.14 71.33 71.76 488 71.76 train
8/26/1963 71.76 72.3 71.57 71.91 470 71.91 train
8/27/1963 71.91 72.04 71.27 71.52 408 71.52 train
8/28/1963 71.52 72.39 71.49 72.04 512 72.04 test
8/29/1963 72.04 72.56 71.83 72.16 511 72.16 train
8/30/1963 72.16 72.71 71.88 72.5 456 72.5 train
9/3/1963 72.5 73.09 72.3 72.66 557 72.66 train
9/4/1963 72.66 73.18 72.32 72.64 607 72.64 train
9/5/1963 72.64 73.19 72.15 73.0 570 73.0 test
9/6/1963 73.0 73.51 72.51 72.84 716 72.84 train
9/9/1963 72.84 73.23 72.26 72.58 502 72.58 train
9/10/1963 72.58 73.27 72.25 72.99 531 72.99 test
9/11/1963 72.99 73.79 72.83 73.2 667 73.2 train
9/12/1963 73.2 73.6 72.72 73.15 556 73.15 train
9/13/1963 73.15 73.59 72.82 73.17 523 73.17 train
9/16/1963 73.17 73.63 72.8 73.07 474 73.07 train
9/17/1963 73.07 73.64 72.79 73.12 495 73.12 train
9/18/1963 73.12 73.44 72.51 72.8 507 72.8 train
9/19/1963 72.8 73.47 72.61 73.22 408 73.22 test
9/20/1963 73.22 73.71 72.92 73.3 531 73.3 train
9/23/1963 73.3 73.53 72.62 72.96 514 72.96 train
9/24/1963 72.96 73.67 72.59 73.3 552 73.3 train
9/25/1963 73.3 73.87 72.58 72.89 634 72.89 train
9/26/1963 72.89 73.07 72.01 72.27 510 72.27 train
9/27/1963 72.27 72.6 71.6 72.13 435 72.13 test
9/30/1963 72.13 72.37 71.28 71.7 373 71.7 train
10/1/1963 71.7 72.65 71.57 72.22 442 72.22 train
10/2/1963 72.22 72.67 71.92 72.3 378 72.3 test
10/3/1963 72.3 73.1 72.1 72.83 451 72.83 test
10/4/1963 72.83 73.19 72.46 72.85 512 72.85 train
10/7/1963 72.85 73.27 72.39 72.7 405 72.7 test
